Артемовская улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Архангельская улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Астрономический переулок,-
переулок Бабинова,2025,Постановлением администрации г. Владивостока от 01.04.2025 N 880
улица Багратиона,-
Байдукова улица,-
Байкальская улица,-
Бакинская улица,-
Бакунина улица,-
улица Балакирева,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Балкерная улица,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Балтийская улица,-
Балтовская улица,-
улица Баляева,1965,https://t.me/vvtopo/241
улица Баневура,1985,https://t.me/vvtopo/241
улица Баратынского,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Барбарисовая улица,-
Барбетная улица,-
Баркасная улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Барклая улица,-
Барсовая улица,-
Бархатная улица,-
Басаргина улица,-
Бассейновая улица,-
Батарейная улица,-
улица Батаршина,2024,Постановлением администрации г. Владивостока от 19.04.2024 N 951
Батумская улица,-
улица Башидзе,-
Бежецкая улица,-
Безымянный переулок,-
улица Белинского,-
Беломорская улица,-
Беляева улица,-
Белякова улица,-
Береговая улица,1869,есть на плане за этот год
Берёзовая улица,1924,https://t.me/vvtopo/176
переулок Беринга,-
Беркутовая улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
улица Бестужева,1917, Wikimapia
улица Бетховена,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
улица Бианки,2021,Постановлением администрации г. Владивостока от 19.03.2021 N 964
Бийская улица,-
Биологический переулок,-
Богатырская улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Боевой переулок,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Большекаменская улица,-
Борисенко улица,-
Бородинская улица,-
Босфора улица,-
Боярышниковая улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Братская улица,-
Брестская улица,-
Брестский переулок,-
Бринера улица,-
Брусничная улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Брюллова улица,-
улица Брюсова,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Брянская улица,-
Буковая улица,-
Буксирная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Бульварная улица,1924,https://t.me/vvtopo/176
Бурачка улица,-
Буреинская улица,-
Буссе улица,-
Буферная улица,-
улица Бянкина,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
улица Вавилова,1965,16.09.1965
Васильковая улица,-
улица Васнецова,2018,Постановлением администрации г. Владивостока от 07.06.2018 N 1744
Ватутина улица,-
улица Венюкова,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Вересковая улица,-
переулок Верещагина,2020,Постановлением администрации г. Владивостока от 03.06.2020 N 1992
Верещагина улица,-
улица Вертинского,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Вертолетная улица,-
Верхнепортовая улица,1924,https://t.me/vvtopo/176
Верхнеславянская улица,-
Верхняя улица,-
Весенняя улица,-
Ветвистая улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Ветеранов улица,-
Ветреная улица,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Взлетная улица,-
Видная улица,2024,Постановлением администрации г. Владивостока от 19.04.2024 N 951
улица Визбора,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
улица Вилкова,1965,https://t.me/vvtopo/241
Виноградная улица,-
Виноградный переулок,-
улица Виттенбурга,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Вишневая улица,-
ВИР улица,-
Владикавказская улица,-
улица Владимира Боровикова,2025,Постановлением администрации г. Владивостока от 01.04.2025 N 880
Водолазная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Водопроводная 2-я улица,-
Военное Шоссе улица,-
Вознесенская улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Вокзальная улица,-
Волгоградская улица,-
Волжская улица,-
Волкова улица,-
Волнистая улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Володарского улица,1924,https://t.me/vvtopo/177, бывшая Невельская
Волочаевская улица,-
Волховская улица,-
Воробьиная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Воровского улица,-
Воронежская улица,1955,https://t.me/vvtopo/304
улица Воропаева,1975,https://t.me/vvtopo/241
Восточный проспект,-
Восточная 1-я улица,1924,https://t.me/vvtopo/176
Восточная 2-я улица,1924,https://t.me/vvtopo/176
Восточная 3-я улица,1924,https://t.me/vvtopo/176
Восточная 4-я улица,-
Восточная 5-я улица,-
Восточная 6-я улица,-
Восточный 3-й переулок,-
улица Вострецова,1965,https://t.me/vvtopo/241
Восьмая улица,-
улица Врубеля,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Всеволода Сибирцева улица,1924,https://t.me/vvtopo/177, бывшая Ботаническая
Встречная 1-я улица,-
Встречная 3-я улица,-
Вторая улица,-
Выселковая улица,-
Высокая улица,-
Высоковольтная улица,-
Высотная улица,-
Вязовая улица,1924,https://t.me/vvtopo/176
Гагаринского улица,-
Гамарника улица,-
Гарнизонная 3-я улица,-
Гаршина улица,-
Гастелло улица,-
Гассе улица,-
Гвардейская улица,-
Географический переулок,-
Героев Варяга улица,-
улица Героев-Даманцев,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
улица Героев-Тихоокеанцев,1985,https://t.me/vvtopo/241
улица Героев Хасана,-
Герцена улица,-
Главная улица,-
Главный переулок,-
улица Глазунова,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Глинки улица,-
Гоголя улица,-
улица Голицына,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Голубичная улица,-
Горийская улица,1924,https://t.me/vvtopo/176
Горицветная улица,-
Горная улица,-
Горный переулок,1906,https://t.me/vvtopo/279
Горького улица,-
Градовая улица,-
Гранитная улица,-
Гражданская улица,-
Гражданская 1-я улица,-
Гражданская 2-я улица,-
Грекова улица,-
Грибоедова улица,-
Гризодубовой улица,-
Грозовая улица,-
Громова улица,-
Грушевая улица,-
Грязелечебница улица,-
Гульбиновича улица,-
Гульбиновича переулок,-
Гусарский переулок,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Давыдова улица,-
Дальзаводская улица,-
Дальнегорская улица,-
Дальняя улица,2018,Постановлением администрации г. Владивостока от 07.06.2018 N 1744
Дачная улица,-
Дачная 1-я улица,-
Дачный переулок,-
Двенадцатая улица,-
Двинская улица,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Девятая улица,1924,https://t.me/vvtopo/176
Дежнева улица,-
Демьяна Бедного улица,-
Деповская улица,-
Деревенская улица,-
Державина улица,-
улица Дерюгина,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Десантная улица,2014,Постановлением администрации г. Владивостока от 15.07.2014 N 7237
Десятая улица,-
Джамбула улица,-
Дивная улица,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Днепровская улица,-
Днепровский переулок,-
Днепропетровская улица,-
улица Дмитриева,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Добровольского улица,-
Добролюбова улица,-
Дозорный переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Докучаева улица,-
Донская улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Дорожный переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Достоевского улица,-
Дружная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Дубовая улица,1924,https://t.me/vvtopo/176
Дубравная улица,2023,Постановлением администрации г. Владивостока от 15.08.2023 N 2056
Ежевичная улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Елецкая улица,-
Енисейская улица,1962
Есенина улица,-
Ёлочная улица,1924,https://t.me/vvtopo/176
Жариковская улица,-
Железнодорожная улица,-
Живительный переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
улица Жигура,1944,https://t.me/vvtopo/232
улица Жуковского,-
Журавлиная улица,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Забайкальская улица,-,(в ред. Постановления администрации г. Владивостока от 08.04.2016 N 1063)
Завойко улица,-,(в ред. Постановления администрации г. Владивостока от 08.04.2016 N 1063)
Загородная улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Залесная улица,-
Западная улица,-
Запорожская улица,1924,https://t.me/vvtopo/176
Запорожский переулок,-
Заречная улица,-
Заречная 1-я улица,-
улица Захарова,1979,до этого 2-я Морская
Звездная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Звонкий переулок,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Зейская улица,1906,https://t.me/vvtopo/279
Зеленая улица,-
Зеленый бульвар,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Зеленый переулок,-
Земляничная улица,-
Зои Космодемьянской улица,-
Золотистый переулок,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Зябликовая улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Ивановская улица,-
Ивовая улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Иволговая улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Извилистая улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Изюбриевая улица,-
улица Ильичева,1965,https://t.me/vvtopo/241
Ильменская улица,-
Иманская улица,-
Импортная улица,-
Инженерная улица,-
Инженерный переулок,-
Интернациональная улица,-
Ирисовая улица,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Иркутская улица,-
Иртышская улица,1924,https://t.me/vvtopo/176
Иртышский переулок,1955,https://t.me/vvtopo/241
Исторический переулок,-
Ишимская улица,-
улица Казакевича,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Кавалеровский переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Казанская улица,1924,https://t.me/vvtopo/177, бывший Военный переулок
Калинина улица,-
Калининградская улица,-
Калиновая улица,-
Каляева улица,-
Камская улица,-
Камский переулок,-
Канатный переулок,-
Канская улица,-
Капитана Шефнера улица,-
Капонирная улица,-
Каплунова улица,-
Карамзина улица,-
Карбышева улица,-
Карла Либкнехта улица,-
Карпинского улица,-
Карская улица,1924,https://t.me/vvtopo/176
Карьерная улица,-
Карьерный переулок,-
Карякинская улица,-
Каспийская улица,-
Каспийский переулок,-
Катерная улица,-
Каштановая улица,-
Квартальный переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Кедровый переулок,-
Кемеровская улица,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Керченская улица,1924,https://t.me/vvtopo/176
Киевская улица,1924,https://t.me/vvtopo/177
Кизиловая улица,1924,https://t.me/vvtopo/177
Кизлярская улица,1924,https://t.me/vvtopo/176
Килевой переулок,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Кипарисовая улица,-
улица Кирова,1937
Кирочный переулок,2023,Постановлением администрации г. Владивостока от 15.08.2023 N 2056
Кириллова улица,-
Китовый переулок,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
улица Клавдии Шульженко,2018,Постановлением администрации г. Владивостока от 07.06.2018 N 1744
Клевера улица,-
Кленовая улица,-
Клинская улица,-
Клыкова улица,-
Ключ 3-й улица,-
Ключ 4-й улица,-
Ключ 5-й улица,-
Ключевая улица,-
Ковальчука улица,-
Колесника улица,-
Колоритная улица,2025,Постановлением администрации г. Владивостока от 01.04.2025 N 880
Командорская улица,-
Комитетская улица,-
Коммунаров улица,1924,https://t.me/vvtopo/177
Коммуны улица,-
Комсомольская улица,-
Корабельная набережная,1929,до этого Адмиральская наб.
Корабельный переулок,-
Короленко улица,-
Короткая улица,-
Космонавтов улица,-
Котельникова улица,-
Кочубея улица,-
Кочубея переулок,-
Краева улица,-
улица Крамского,2018,Постановлением администрации г. Владивостока от 07.06.2018 N 1744
Красноармейский переулок,-
проспект Красного Знамени,-
Краснодонская улица,-
Краснозаводская улица,-
Краснознаменный переулок,-
Крещенская улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Круговая 1-я улица,-
Круговая 2-я улица,-
Круговая 3-я улица,-
Круговая 4-я улица,-
Крутая 1-я улица,-
Крутая 2-я улица,-
Крыгина улица,1965,https://t.me/vvtopo/262
Крылатый переулок,-
Крылова улица,-
Крымская улица,-
Кубанская улица,-
Кузбасская улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
улица Куинджи,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Куйбышева улица,-
Курильская улица,-
Курчатова улица,-
Кустарный переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Кутузова улица,-
улица Лаврова,1924,https://t.me/vvtopo/177, бывш Переселенческий пер.
Ладожская улица,-
Ладыгина улица,-
улица Лазо,1924,https://t.me/vvtopo/177, бывшая Полтавская
Лазовская улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Лазуритовый переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Лазурная улица,-
Ландышевая улица,-
Ланинский переулок,-
Лаптева улица,-
Ласточкина улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Лебедева улица,-
Левитана улица,2018,Постановлением администрации г. Владивостока от 07.06.2018 N 1744
Левобережная улица,-
Лейтенанта Шмидта улица,1924,https://t.me/vvtopo/177
Ленский переулок,-
улица Леонова,1979,https://t.me/vvtopo/262
Леопардовая набережная,2016,Постановлением администрации г. Владивостока от 14.07.2016 года №2103
Лепестковая улица,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Лескова улица,-
Лесная улица,-
Лесная 1-я улица,-
Лесная 2-я улица,-
Лесная 3-я улица,-
Лесной переулок,-
Лесопитомник улица,-
Линейная 1-я улица,-
Линейная 2-я улица,-
Линейная 3-я улица,-
Липовая улица,1924,https://t.me/vvtopo/177
Лиственничная улица,-
Листопадная улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Литовская улица,-
Ломаная улица,-
Ломоносова улица,-
переулок Лопатина,2025,Постановлением администрации г. Владивостока от 01.04.2025 N 880
улица Лоскутова,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Лоцманская улица,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Луговая улица,-
улица Лукина,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Лукоморье улица,-
Лунная улица,-
Луцкого улица,-
Лучезарный переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Лучистая улица,2017,Постановлением администрации г. Владивостока от 07.04.2017 N 948
Лянчихинская улица,-
улица Маака,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Магнитогорская улица,-
Майкова улица,-
Майская улица,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
улица Майора Филипова,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Маковского улица,-
Максимовича улица,2017,Постановлением администрации г. Владивостока от 07.04.2017 N 948
улица Малика,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Маковского переулок,-
Малиновая улица,-
улица Мамонтова,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Маньчжурская улица,-
улица Маргаритова,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Марины Расковой улица,-
Марченко улица,-
Математический переулок,-
Матросова улица,-
Матросская 1-я улица,-
Матросская 2-я улица,-
Матросская 3-я улица,-
Матросская 4-я улица,-
Матросская 5-я улица,-
Матросская 6-я улица,-
Матросская 7-я улица,-
Махалина улица,-
Маяковского улица,-
Медовая улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Междугородняя улица,-
Мезенская улица,-
Мельниковская улица,1924,https://t.me/vvtopo/177 в списке 1924 — ул. Мельникова
Менделеева улица,-
Металлистов улица,-
Металлургическая улица,-
Метельная улица,-
Мехлиса улица,-
Мечникова улица,-
Милоградовская улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Минеральная улица,-
Минеров улица,-
Минная улица,2014,Постановлением администрации г. Владивостока от 15.07.2014 N 7237
улица Мира,-
Мирная улица,-
Михайловского улица,-
Мичуринская улица,-
Мичуринский переулок,-
Могилёвская улица,1924,https://t.me/vvtopo/177
Можайская улица,1956,Образована 20.06.1956
Можжевеловая улица,1924,https://t.me/vvtopo/177
Монтажная улица,-
Мопровская улица,-
улица Мордовцева,1967,https://t.me/vvtopo/233
Мореходная улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Морозова улица,-
1-я Морская улица,1869,из числа самых старых
Московская улица,-
Мотыльковая улица,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
улица Моцарта,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Мраморная улица,-
улица Муравьева-Амурского,1985,https://t.me/vvtopo/241
Мурманская улица,1955,https://t.me/vvtopo/304
улица Мусоргского,-
Мысовая улица,-
улица Мыс Кунгасный,-
улица Мыс Чумака,-
Набережная улица,1891,упомянута в списке улиц за этот год
улица Надарова,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
улица Надибаидзе,1964,? https://t.me/vvtopo/225 https://t.me/vvtopo/31
Нарвская улица,1955,https://t.me/vvtopo/304
Народный проспект,1907,https://t.me/vvtopo/138
улица Нахимова,-
Находкинская улица,-
Небесный переулок,-
улица Невельского,1985,https://t.me/vvtopo/257
Невская улица,1924,https://t.me/vvtopo/176
Нежинская улица,1924,https://t.me/vvtopo/177
улица Нейбута,-
Некрасовская улица,-
Некрасовский переулок,-
Нектарная улица,2017,Постановлением администрации г. Владивостока от 07.04.2017 N 948
Неманская улица,-
Нерчинская улица,-
улица Нестерова,-
Нефритовая улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
улица Нефтеветка,-
Нижнепортовая улица,1921,Wikimapia
Низинная улица,2017,Постановлением администрации г. Владивостока от 07.04.2017 N 948
улица Никитина,-
улица Никифорова,-
улица Николая Буйневича,2024,Постановлением администрации г. Владивостока от 19.04.2024 N 951
улица Новицкого,-
Новгородский переулок,-
улица Новожилова,1985,https://t.me/vvtopo/301
Новоивановская улица,-
Новороссийская улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Облачный переулок,-
Обзорная улица,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
Облепиховая улица,-
Обручева улица,-
Объездной переулок,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Овражная улица,-
улица Овчинникова,-
улица Огарева,-
Одесская улица,1924,https://t.me/vvtopo/177
Одиннадцатая улица,-
Озёрная улица,-
Окатовая улица,1924,https://t.me/vvtopo/177
Океанский проспект,1907,https://t.me/vvtopo/138
Октябрьская улица,1932,https://t.me/vvtopo/53
улица Окуджавы,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
улица Олега Кошевого,1949,Wikimapia
Ольгинский переулок,2023,Постановлением администрации г. Владивостока от 15.08.2023 N 2056
Ольховая улица,1924,https://t.me/vvtopo/177
Опаловая улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Опорная улица,-
Орбитальная улица,-
Ореховый переулок,1924,https://t.me/vvtopo/177
Осиновая улица,-
Островского улица,-
Острогорная улица,-
проспект Острякова,1965,до этого Северный проспект
Отлогая улица,-
Отрадная улица,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Охотский переулок,-
Очаковская улица,-
переулок Павленко,-
Паллады улица,-
улица Пальчевского,-
улица Панфилова,-
Парашютная улица,-
Паровозная улица,-
Партизанский проспект,1924,https://t.me/vvtopo/177, бывший Николаевский
Партизанская улица,-
Парусная улица,-
Пархоменко улица,-
Пархоменко переулок,-
Пасечная улица,2017,Постановлением администрации г. Владивостока от 07.04.2017 N 948
улица Патрокл,1924,https://t.me/vvtopo/176
улица Паустовского,2023,Постановлением администрации г. Владивостока от 15.08.2023 N 2056
улица Пацаева,-
Пейзажная улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Первая улица,-
Перекопский переулок,-
Перепелиная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Персиковая улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Пестеля улица,-
Петра Великого улица,-
Печорская улица,-
Пилотажный переулок,-
Пионерская улица,-
Пионовая улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Пирогова улица,-
Писаревская улица,-
Пихтовая улица,1924,https://t.me/vvtopo/176
Планерная улица,-
Плеханова улица,-
Плещеева улица,-
Поворотный переулок,2024,Постановлением администрации г. Владивостока от 19.04.2024 N 951
Пограничная улица,-
Подгорная улица,-
Подъемная улица,-
Пожарского улица,-
Покатая улица,-
Полевая улица,-
Полезный переулок,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Поленова улица,-
Полетаева улица,-
Полетаева переулок,-
улица Полины Осипенко,-
улица Полковника Фесюна,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Пологая улица,-
Полонского улица,-
Полтавская улица,1924,https://t.me/vvtopo/177
Полярная улица,-
Попутная улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Посадская улица,-
Поселковая 1-я улица,-
Поселковая 2-я улица,-
Поселковая 3-я улица,-
Поселковый переулок,-
Постышева улица,-
Посьетская улица,1869,есть в списке 1908 года
Потийская улица,-
Почтовая улица,-
Почтовый переулок,-
улица Пояркова,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Правобережная улица,-
Прапорщика Комарова улица,-
Пржевальского улица,-
Прибрежная улица,-
Приветливая улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Пригородная 1-я улица,-
Пригородная 2-я улица,-
Пригородная 3-я улица,-
Пригородная 4-я улица,-
Призовая улица,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
Приморская улица,-
улица Приходько,1985,https://t.me/vvtopo/241
Причальная улица,-
улица Пришвина,2018,Постановлением администрации г. Владивостока от 07.06.2018 N 1744
улица Прокофьева,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Промежуточная улица,-
Промысловая улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Промышленная 1-я улица,-
Промышленная 2-я улица,-
Проселочная улица,-
Просторная улица,2017,Постановлением администрации г. Владивостока от 07.04.2017 N 948
Проточная улица,-
переулок Профессора Вологдина В.П.,2022,Постановлением администрации г. Владивостока от 13.05.2022 N 1044
улица Профессора Куренцова,-
улица Профессора Шапкина,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Проходная 1-я улица,-
Проходная 2-я улица,-
Проходная 3-я улица,-
Проходная 4-я улица,-
Проходная 5-я улица,-
Пугачева улица,-
Пушкинская улица,1899,https://t.me/vvtopo/227
Пятая улица,-
Пятнадцатая улица,-
9-я Рабочая улица,1906,https://t.me/vvtopo/279
10-я Рабочая улица,1906,https://t.me/vvtopo/279
13-я Рабочая улица,1906,https://t.me/vvtopo/279
Радарный переулок,-
Радио улица,-
Радио переулок,-
Радиостанция улица,-
Радостная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Радужная улица,-
Радужный переулок,-
Раевского улица,-
Раздольная улица,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Разина улица,-
Ракетная улица,-
Ракитная улица,1924,https://t.me/vvtopo/177
Рассветная улица,-
улица Расула Гамзатова,2023,Постановлением администрации г. Владивостока от 15.08.2023 N 2056
улица Рахманинова,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Режицкая улица,-
Рейдовая улица,-
Репина улица,-
улица Республики,1924,https://t.me/vvtopo/176
Речная улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
улица Решетникова,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Рионская улица,-
Родниковый переулок,-
Роберта Баха улица,-
Ровная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Розничная улица,-
Розовая улица,-
Розовый переулок,-
Рокадная улица,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
улица Рокотова,2019,Постановлением администрации г. Владивостока от 07.06.2019 N 2240
улица Романтиков,2022,Постановлением администрации г. Владивостока от 11.02.2022 N 285
Ромашковая улица,-
Рубиновая улица,2016,Постановлением администрации г. Владивостока от 08.04.2016 N 1063
Рубинштейна улица,-
Руднева улица,-
улица Русанова,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Русская улица,-
Ручейный переулок,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Рыбацкая улица,-
Рыбацкий переулок,-
Рыбинская улица,-
Рылеева улица,-
Рюриковская улица,-
Ряжская улица,-
улица Сабанеева,1981,https://t.me/vvtopo/184
улица Саврасова,2025,Постановлением администрации г. Владивостока от 01.04.2025 N 880
Садгородская улица,-
Садовая улица,-
Садовый переулок,-
Садовый Тупик улица,-
Салтыкова улица,-
Самаргинская улица,2020,Постановлением администрации г. Владивостока от 13.03.2020 N 1033
Самарская улица,-
Саперная улица,-
Сапфировая улица,2023,Постановлением администрации г. Владивостока от 30.01.2023 N 182
Саратовская улица,-
улица Саульского,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Сафонова улица,1954,https://t.me/vvtopo/301
Сахалинская улица,-
Сахарный Ключ улица,-
Свердлова улица,-
Светланская улица,1873,в память о Великом князе Алексее Александровиче и фрегате «Светлана».
Светланский переулок,1985,https://t.me/vvtopo/241
Свободная улица,2021,Постановлением администрации г. Владивостока от 01.02.2021 N 288
Связи улица,-
Севастопольская улица,-
Северная 1-я улица,-
Северная 3-я улица,-
